Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide Number,Source Website,Complimentry Resources,
MET-20250719-WBTC-ALB-0001,MeteorologicalHazards,Fires,WildFires,fire,ALB,1,0.3,News Agencies & Media,Medium,2025,7,19,2025,7,26,Summer,19/12/2025,1/29/2026,12000,Hectar,Western Balkans & Türkiye & Cyprus,Albenia,N/A,21,"Vlore, Dukat, Dhërmi, Piqeras",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,WF-2025-000117-ALB,https://www.ansa.it/nuova_europa/it/notizie/rubriche/politica/2025/07/29/albania-18-arrestati-con-accusa-di-aver-appiccato-incendi_80c54512-2078-410f-a730-978f4e95905c.html,,
HYDRO-20250113-WBTC-ALB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,ALB,1,1,Desinventar,Very High,2025,1,13,2025,1,16,Winter,19/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Albenia,N/A,N/A,"Durrës, Korçë, Maliq zones",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,,
HYDRO-20250129-WBTC-ALB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,ALB,1,1,Desinventar,Very High,2025,1,29,2025,1,31,Winter,19/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Albenia,N/A,N/A,"Lezhë, Shkodër",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,,
HYDRO-20250829-WBTC-ALB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,ALB,1,1,Desinventar,Very High,2025,8,29,2025,8,31,Summer,19/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Albenia,N/A,N/A,"Lezhë, Shkodër, Vlora region",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,,
HYDRO-20251118-WBTC-ALB-0001,HydrologicalHazards,Floods,FlashFlood,flood,ALB,1,0.3,News Agencies & Media,Medium,2025,11,18,2025,11,24,Autumn,19/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Albenia,1,N/A,"Korçë, Sarandë District & Delvinë area, Lezhë & Vlorë regions",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,"https://www.voxnews.al/english/aktualitet/jugu-nen-uje-moti-i-keq-shkakton-permbytjen-e-dhjetera-banesave-dhe-q-i104685 , https://indeksonline.net/en/Floods-in-Albania%3A-water-begins-to-recede-in-some-areas/, https://www.euronews.com/2025/11/24/severe-weather-causes-deaths-and-evacuations-in-albania-and-greece",,
MET-20250706-WBTC-ALB-0001,MeteorologicalHazards,Fires,WildFires,fire,ALB,1,0.3,News Agencies & Media,Medium,2025,7,6,2025,7,6,Summer,19/12/2025,1/29/2026,1269,Hectar,Western Balkans & Türkiye & Cyprus,Albenia,N/A,N/A,"Dibër, Elbasan",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.ocnal.com/2025/07/wildfires-continue-to-threaten-multiple.html,,
MET-20250719-WBTC-ALB-0002,MeteorologicalHazards,Fires,WildFires,fire,ALB,1,0.3,News Agencies & Media,Medium,2025,7,19,2025,7,16,Summer,19/12/2025,1/29/2026,1129,Hectar,Western Balkans & Türkiye & Cyprus,Albenia,N/A,2000,Delvina (Vlorë),N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,WF-2025-000117-ALB,https://www.reuters.com/business/environment/greece-battles-wildfires-across-country-evacuates-villages-2025-07-26/,,
MET-20250729-WBTC-ALB-0001,MeteorologicalHazards,Fires,WildFires,fire,ALB,1,0.3,News Agencies & Media,Medium,2025,7,29,2025,7,29,Summer,19/12/2025,1/29/2026,10578,Hectar,Western Balkans & Türkiye & Cyprus,Albenia,N/A,N/A,"Gramsh, Elbasan region",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://euronews.al/en/wildfires-burned-over-57000-Hectares-of-forests-what-environmental-experts-warn/?utm_source=chatgpt.com,,
MET-20250806-WBTC-ALB-0001,MeteorologicalHazards,Fires,WildFires,fire,ALB,1,0.3,News Agencies & Media,Medium,2025,8,6,2025,8,14,Summer,19/12/2025,1/29/2026,11506,Hectar,Western Balkans & Türkiye & Cyprus,Albenia,1,N/A,"Korçë region, Sarandë & Delvinë district villages, Dibër, Lezhë, Vlora",N/A,30,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.aa.com.tr/en/environment/wildfires-in-albania-kill-1-injure-8-forcing-people-to-evacuate-several-villages/3657889,,
MET-20240811-WBTC-ALB-0001,MeteorologicalHazards,Fires,WildFires,fire,ALB,1,0.3,News Agencies & Media,Medium,2024,8,11,2024,8,12,Summer,19/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Albenia,1,2000,"Dibër, Vlorë, Elbasan and Bulqizë",N/A,10,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,WF-2024-000142-ALB,"https://www.ekathimerini.com/news/1276461/wildfire-in-albania-injures-three-people-forces-evacuation-of-2000/ , https://www.aa.com.tr/en/environment/wildfires-in-albania-kill-1-injure-8-forcing-people-to-evacuate-several-villages/3657889",,
