Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Source Website,Complementary Sources
BIO-19050130-SCWCIS-BLR-0001,BiologicalHazards,Epidemic,Bacterial disease,epidemic,BLR,1,0.6,EM-DAT,High,1995,1,30,1995,1,30,Winter,22.01.2026,2/22/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,13,282,Gomel,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A
BIO-19050302-SCWCIS-BLR-0001,BiologicalHazards,Epidemic,COVID-19,epidemic,BLR,1,0.6,Academia,High,2020,3,2,2022,7,9,Spring,22.01.2026,2/23/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,7118,994038,Belarus,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://coronavirus.jhu.edu/region/belarus,https://www.glidenumber.net/glide/public/search/search.jsp
BIO-19051126-SCWCIS-BLR-0001,BiologicalHazards,Epidemic,Bacterial disease,epidemic,BLR,1,0.6,EM-DAT,High,1997,11,26,1997,11,26,Autumn,22.01.2026,2/21/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,605,Belarus,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A
HYDRO-19050221-SCWCIS-BLR-0001,HydrologicalHazards,Droughts,Drought,drought,BLR,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2019,2,21,2019,8,1,Winter,22.01.2026,1/31/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,N/A,Belarus,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,N/A
HYDRO-19050307-SCWCIS-BLR-0001,HydrologicalHazards,Floods,RiverineFlood,flood,BLR,1,0.6,EM-DAT,High,1999,3,7,1999,4,10,Spring,22.01.2026,2/17/2026,2557,km2,South Caucasus & Western CIS,Belarus,2,2000,"Brest, Gomel, Minsk",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://floodobservatory.colorado.edu/wiki/FloodRecords
HYDRO-19050319-SCWCIS-BLR-0001,HydrologicalHazards,Floods,FlashFlood,flood,BLR,1,0.6,EM-DAT,High,2018,3,19,2018,4,19,Spring,22.01.2026,2/19/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,50000,"Gomel, Brest, Grodno, Minsk, Mogilev, Vitebsk",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://www.ifrc.org/evaluations?organisational_structure%5B%5D=6352&search_terms=&search_terms=&date_from=&date_to=&text=&search_terms=&search_terms=&search_terms=
HYDRO-19050715-SCWCIS-BLR-0001,HydrologicalHazards,Floods,RiverineFlood,flood,BLR,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,7,15,2025,7,17,Summer,22.01.2026,2/3/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,N/A,Minsk,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=1103393&episodeid=1&eventtype=FL,https://global-flood.emergency.copernicus.eu/glofas-forecasting/
HYDRO-19050330-SCWCIS-BLR-0001,HydrologicalHazards,Floods,FlashFlood,flood,BLR,1,0.6,EM-DAT,High,2023,3,30,2023,4,2,Spring,22.01.2026,2/18/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,420,"Vitebsk, Gomel, Minsk, Grodno, Mogilev",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://global-flood.emergency.copernicus.eu/glofas-forecasting/
HYDRO-19050330-SCWCIS-BLR-0001,HydrologicalHazards,Floods,RiverineFlood,flood,BLR,1,0.6,EM-DAT,High,1996,3,30,1996,3,30,Spring,22.01.2026,2/20/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,N/A,"Stollin, Pinsk, Luninets, Zitkovichy, Petrikov, Brest, Gomel, Mink",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A
HYDRO-19050421-SCWCIS-BLR-0001,HydrologicalHazards,Droughts,Drought,drought,BLR,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2018,4,21,2018,11,24,Spring,22.01.2026,2/1/2026,N/A,N/A,South Caucasus & Western CIS,Belarus,N/A,N/A,Belarus,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,N/A
