Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Source Website,Complementary Sources,
BIO-19050000-CA-KAZ-0001,BiologicalHazards,Epidemic,Typhus Fever,epidemic,KAZ,1,0.6,EM-DAT,High,1999,0,0,1999,0,0,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,166,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
BIO-19050101-CA-KAZ-0001,BiologicalHazards,Epidemic,Typhus Fever,epidemic,KAZ,1,0.6,EM-DAT,High,2000,1,1,2000,1,30,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,114,Kyzylzhar,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
BIO-19050313-CA-KAZ-0001,BiologicalHazards,Epidemic,COVID-19,epidemic,KAZ,1,0.6,Glide,High,2020,3,13,2022,5,5,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,19071,1498668,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.glidenumber.net/glide/public/search/search.jsp,https://coronavirus.jhu.edu/region/kazakhstan,
BIO-19051209-CA-KAZ-0001,BiologicalHazards,Epidemic,N/A,epidemic,KAZ,1,0.6,EM-DAT,High,1998,12,9,1998,12,9,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,7,593,Ust-kamenogorsk,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
GEO-19050123-CA-KAZ-0001,GeophysicalHazards,Earthquakes,Earthquake,earthquake,KAZ,1,0.6,EM-DAT,High,2024,1,23,2024,1,23,Winter,1/6/2026,1/30/2026,5.8,Moment Magnitude,Central Asia,Kazakhstan,N/A,67,Almaty,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://astanatimes.com/2024/01/kazakh-officials-confirm-no-casualties-in-almaty-earthquake/,
GEO-19050314-CA-KAZ-0001,GeophysicalHazards,Landslide,Mudflow,mass_movement,KAZ,1,0.6,EM-DAT,High,2004,3,14,2004,3,14,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,48,N/A,Talgar,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,http://news.bbc.co.uk/2/hi/asia-pacific/3510218.stm,
GEO-19050523-CA-KAZ-0001,GeophysicalHazards,Earthquakes,Earthquake,earthquake,KAZ,1,0.6,EM-DAT,High,2023,5,23,2023,5,23,Spring,1/6/2026,1/30/2026,5.5,Moment Magnitude,Central Asia,Kazakhstan,3,36626,Jambyl,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050207-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,2,7,2024,2,9,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,4,100,Medeu,N/A,N/A,N/A,2,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://www.kazhydromet.kz/,
HYDRO-19050201-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2010,2,1,2010,3,0,Winter,1/6/2026,1/30/2026,323800,km2,Central Asia,Kazakhstan,44,16200,Almatinskaya,34576,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050201-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2023,2,1,2023,2,3,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,204,"Turkestan, Sauran, Arys",N/A,98,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://global-flood.emergency.copernicus.eu/glofas-forecasting/,
