Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide Number,Source Website,Complimentry Resources,
HYDRO-20250702-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2025,7,2,2025,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Svrljig,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,UVS u Nišu,
HYDRO-20250619-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2025,6,19,2025,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Gadžin Han,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,UVS u Nišu,
HYDRO-20250701-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2025,7,1,2025,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Bela Palanka,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,
HYDRO-20250618-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2025,6,18,2025,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Dimitrovgrad,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,
HYDRO-20250708-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2025,7,8,2025,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Mionica,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Valjevu,
HYDRO-20250506-WBTC-SRB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2025,5,6,2025,0,0,Spring,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Majdanpek,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Boru,
MET-20250621-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,6,21,2025,0,0,Summer,28/12/2025,1/29/2026,15,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Blace,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prokuplju,
MET-20250702-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,7,2,2025,0,0,Summer,28/12/2025,1/29/2026,15,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Priboj,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20250702-WBTC-SRB-0002,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,7,2,2025,0,0,Summer,28/12/2025,1/29/2026,10,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Priboj,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20250320-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,3,20,2025,0,0,Spring,28/12/2025,1/29/2026,30,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Kuršumlija,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prokuplju,POŽAR HRASTOVE ŠUME I NISKOG RASTINJA NA POVRŠINI OKO 30ha.
MET-20250315-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,3,15,2025,0,0,Spring,28/12/2025,1/29/2026,60,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Kuršumlija,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prokuplju,
MET-20250308-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,3,8,2025,0,0,Spring,28/12/2025,1/29/2026,20,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Požega,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Užicu,"POŽAR LISTOPADNE ŠUME, MAKIJE I NISKOG RASTINJA NA NEPRISTUPAČNOM TERENU NA POVRŠINI OKO 20ha."
MET-20250308-WBTC-SRB-0002,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,3,8,2025,0,0,Spring,28/12/2025,1/29/2026,15,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Prijepolje,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20250306-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,3,6,2025,0,0,Spring,28/12/2025,1/29/2026,10,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Nova Varoš,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20250309-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,3,9,2025,0,0,Spring,28/12/2025,1/29/2026,100,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Aleksandrovac,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Kruševcu,"POŽAR LISTOPADNE ŠUME, MAKIJA I NISKOG RASTINJA NA POVRŠINI OKO 100ha"
MET-20250321-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2025,3,21,2025,0,0,Spring,28/12/2025,1/29/2026,15,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Kruševac-Grad,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Kruševcu,POŽAR HRASTOVE ŠUME NA POVRŠINI OKO 15ha
MET-20250509-WBTC-SRB-0001,MeteorologicalHazards,Storm,Hailstorm,storm,SRB,1,1,Desinventar,Very High,2025,5,9,2025,0,0,Spring,28/12/2025,1/29/2026,420,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Smederevska Palanka,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Smederevu,
MET-20250728-WBTC-SRB-0001,MeteorologicalHazards,Storm,Hailstorm,storm,SRB,1,1,Desinventar,Very High,2025,7,28,2025,0,0,Summer,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Gornji Milanovac,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Čačku,
HYDRO-20240909-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,9,9,2024,0,0,Autumn,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Lebane,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Leskovcu,
HYDRO-20240816-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,8,16,2024,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Ljubovija,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Šapcu,
HYDRO-20240820-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,8,20,2024,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Nova Varoš,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
HYDRO-20240611-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,6,11,2024,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Koceljeva,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Šapcu,
HYDRO-20240713-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,7,13,2024,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Mionica,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Valjevu,
HYDRO-20240716-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,7,16,2024,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Dimitrovgrad,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,
HYDRO-20240621-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,6,21,2024,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Brus,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Kruševcu,
HYDRO-20240701-WBTC-SRB-0001,HydrologicalHazards,Droughts,Drought,drought,SRB,1,1,Desinventar,Very High,2024,7,1,2024,0,0,Summer,24/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Gornji Milanovac,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Čačku,
HYDRO-20240503-WBTC-SRB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,5,3,2024,0,0,Spring,28/12/2025,1/29/2026,66,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Svrljig,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,UVS u Nišu,
HYDRO-20240624-WBTC-SRB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,6,24,2024,0,0,Summer,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Mionica,N/A,98,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Valjevu,
HYDRO-20240628-WBTC-SRB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,6,28,2024,0,0,Summer,28/12/2025,1/29/2026,180,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Ljig,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Valjevu,
HYDRO-20240627-WBTC-SRB-0001,HydrologicalHazards,Floods,RiverineFlood,flood,SRB,1,1,Desinventar,Very High,2024,6,27,2024,0,0,Summer,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Beograd-Lazarevac,N/A,3,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,UVS u Beogradu,
