Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide Number,Source Website,Complimentry Resources
HYDRO-19050425-SCWCIS-UKR-0001,HydrologicalHazards,Floods,FlashFlood,flood,UKR,1,0.6,News Agencies & Media,High,2024,4,25,2024,4,30,Spring,05/01/2026,29/01/2026,N/A,N/A,South Caucasus & Western CIS,Ukraine,N/A,N/A,Kyiv,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://komersant.ua/en/rekordna-povin-u-kyievi-pryberezhni-lokatsii-zatopylo-vodoiu-2,
MET-19050812-SCWCIS-UKR-0001,MeteorologicalHazards,Fires,WildFires,fire,UKR,1,0.6,Global Wildfire Information System (GWIS),High,2024,8,12,2024,8,18,Summer,05/01/2026,29/01/2026,6607,Hectar,South Caucasus & Western CIS,Ukraine,N/A,21,Odesa Oblast,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,https://www.gdacs.org/report.aspx?eventid=1021286&episodeid=13&eventtype=WF
MET-19050915-SCWCIS-UKR-0001,MeteorologicalHazards,Fires,WildFires,fire,UKR,1,0.6,Global Wildfire Information System (GWIS),High,2024,9,15,2024,9,20,Autumn,05/01/2026,29/01/2026,6467,Hectar,South Caucasus & Western CIS,Ukraine,N/A,136,"Donetsk Oblast, Luhansk Oblasts",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,https://www.gdacs.org/report.aspx?eventid=1022230&episodeid=11&eventtype=WF
HYDRO-19050405-SCWCIS-UKR-0001,HydrologicalHazards,Floods,FlashFlood,flood,UKR,1,0.6,FloodList,High,2023,4,5,2023,4,16,Spring,05/01/2026,29/01/2026,N/A,N/A,South Caucasus & Western CIS,Ukraine,N/A,N/A,"Volyn, Dnipropetrovsk, Kyiv, Rivne, Poltava, Cherkasy, Chernihiv, Zhytomyr oblasts",N/A,950,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://floodlist.com/europe/ukraine-floods-april-2023,
MET-19051126-SCWCIS-UKR-0001,MeteorologicalHazards,Storm,Snowstorm,storm,UKR,1,0.3,News Agencies & Media,Medium,2023,11,26,2023,11,27,Autumn,05/01/2026,29/01/2026,N/A,N/A,South Caucasus & Western CIS,Ukraine,10,2500,"Odesa, Mykolaiv, Kyiv, Kharkiv",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,162,N/A,N/A,https://www.pravda.com.ua/eng/news/2023/11/28/7430677/,https://www.ndtv.com/world-news/ukraine-2-500-rescued-after-severe-snowstorm-hits-southern-ukraine-4612991
MET-19050328-SCWCIS-UKR-0001,MeteorologicalHazards,Fires,WildFires,fire,UKR,1,0.6,Global Wildfire Information System (GWIS),High,2022,3,28,2022,3,31,Spring,05/01/2026,29/01/2026,5759,Hectar,South Caucasus & Western CIS,Ukraine,N/A,N/A,Carpathia,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,https://www.gdacs.org/report.aspx?eventid=1005114&episodeid=2&eventtype=WF
MET-19050512-SCWCIS-UKR-0001,MeteorologicalHazards,Fires,WildFires,fire,UKR,1,0.6,Global Wildfire Information System (GWIS),High,2022,5,12,2022,5,19,Spring,05/01/2026,29/01/2026,5685,Hectar,South Caucasus & Western CIS,Ukraine,N/A,N/A,Chernihiv,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,https://www.gdacs.org/report.aspx?eventid=1006170&episodeid=2&eventtype=WF
HYDRO-19050620-SCWCIS-UKR-0001,HydrologicalHazards,Floods,FlashFlood,flood,UKR,1,1,Government & Official National Sources,Very High,2021,6,20,2021,6,25,Summer,05/01/2026,29/01/2026,N/A,N/A,South Caucasus & Western CIS,Ukraine,N/A,N/A,Chernivtsi Oblast,N/A,80,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://cv.dsns.gov.ua/news/nadzvicaini-podiyi/17466?,https://lb.ua/society/2021/06/20/487511_chernivetskiy_oblasti_cherez_zlivi.html
MET-19050805-SCWCIS-UKR-0001,MeteorologicalHazards,Fires,WildFires,fire,UKR,1,0.6,Global Wildfire Information System (GWIS),High,2021,8,5,2021,8,6,Summer,05/01/2026,29/01/2026,6015,Hectar,South Caucasus & Western CIS,Ukraine,N/A,111,Ukraine,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,https://www.gdacs.org/report.aspx?eventid=1001594&episodeid=1&eventtype=WF
HYDRO-19050622-SCWCIS-UKR-0001,HydrologicalHazards,Floods,FlashFlood,flood,UKR,1,1,Copernicus,Very High,2020,6,22,2020,7,15,Summer,05/01/2026,29/01/2026,N/A,N/A,South Caucasus & Western CIS,Ukraine,3,N/A,"Ivano-Frankivsk, Chernivtsi, Lviv, Zakarpattia and Ternopil oblasts","345,000,000","9,994",N/A,N/A,64 bridges destroyed.,No,N/A,N/A,N/A,N/A,N/A,N/A,https://mapping.emergency.copernicus.eu/activations/EMSR444/,https://qazinform.com/news/bad-weather-in-ukraine-leaves-285-populated-areas-flooded-64-bridges-destroyed_a3665971
