Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide Number,Source Website,Complimentry Resources,Note,,,,
MET-20250724-CA-UZB-0001,MeteorologicalHazards,Fires,Wildfire,fire,UZB,1,1,Sentinal Asia,Very High,2025,7,24,2025,7,24,Summer,16/12/2025,29/01/2026,5,Hectars,Central Asia,Uzbekistan,N/A,N/A,Surkhandarya,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,WF-2025-000120-UZB,https://sentinel-asia.org/EO/2025/article20250723UZ.html,https://kun.uz/ru/25814385,"A fire broke out in the Surkhan Reserve in the Surkhandarya region.In the mahalla ""Kizil Olma"", dry grass caught fire on an area of 5 hectares, the Ministry of Emergency Situations reports.: https://uz.sputniknews.ru/20250724/50811811.html",,,,
HYDRO-20241000-CA-UZB-0001,HydrologicalHazards,Droughts,Drought,drought,UZB,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,10,0,2025,11,,Autumn,10/12/2025,10/12/2025,1789569,km2,Central Asia,Uzbekistan,N/A,N/A,Uzbekistan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,DR-2024-000232-EGY,"https://drought.emergency.copernicus.eu/tumbo/gdo/map/?id=2001&bbox=32,31,81,47",,,,,,
HYDRO-20240714-CA-UZB-0001,HydrologicalHazards,Floods,Mud Slide,mass_movement,UZB,1,1,Sentinal Asia,Very High,2024,7,14,2024,7,14,Summer,15/12/2025,30/01/2026,N/A,N/A,Central Asia,Uzbekistan,N/A,N/A,Andijan,N/A,N/A,N/A,N/A,1 bridge collapsed,No,N/A,N/A,N/A,N/A,N/A,MS-2024-000113-UZB,https://sentinel-asia.org/EO/2024/article20240714UZ.html,https://rossaprimavera.ru/news/c4a313c3,The bridge collapsed due to the erosion of the bridge base as a result of mudflows in the village of Yorkishlok in the Andijan region,,,,
HYDRO-20220420-CA-UZB-0001,HydrologicalHazards,Floods,Flood,flood,UZB,1,1,Asian Disaster Reduction Center (ADRC),Very High,2022,4,20,2022,4,21,Spring,09/12/2025,09/12/2025,N/A,N/A,Central Asia,Uzbekistan,5,165,"Samarkand, Jizzakh, Navoi and Qashqadaryo",N/A,260,260,0,N/A,No,N/A,N/A,N/A,N/A,N/A,FL-2022-000204-UZB,https://www.adrc.asia/view_disaster_en.php?Lang=en&Key=2528,https://floodlist.com/asia/uzbekistan-floods-april-2022,"Slide (land, mud, snow, rock); around 100 people were displaced.",,,,
MET-20220517-CA-UZB-0001,MeteorologicalHazards,Fires,Wildfire,fire,UZB,1,1,Global Wildfire Information System (GWIS),Very High,2022,5,17,2022,5,28,Spring,19/12/2025,19/12/2025,N/A,N/A,Central Asia,Uzbekistan,N/A,N/A,Uzbekistan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,,,,,,
MET-20220711-CA-UZB-0001,MeteorologicalHazards,Fires,Wildfire,fire,UZB,1,1,Global Wildfire Information System (GWIS),Very High,2022,7,11,2022,7,2,Summer,19/12/2025,19/12/2025,N/A,N/A,Central Asia,Uzbekistan,N/A,N/A,Uzbekistan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,,,,,,
GEO-20210712-CA-UZB-0001,GeophysicalHazards,Landslide,Mud Slide,mass_movement,UZB,1,1,Asian Disaster Reduction Center (ADRC),Very High,2021,7,12,2021,7,13,Summer,09/12/2025,09/12/2025,N/A,N/A,Central Asia,Uzbekistan,8,6,Uzbekistan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://sentinel-asia.org/EO/2021/article20210713UZ.html,https://www.uzdaily.uz/ru/post/62221/,,,,,
MET-20210412-CA-UZB-0001,MeteorologicalHazards,Fires,Wildfire,fire,UZB,1,1,Global Wildfire Information System (GWIS),Very High,2021,4,12,2021,4,17,Spring,19/12/2025,19/12/2025,N/A,N/A,Central Asia,Uzbekistan,N/A,N/A,Uzbekistan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,,,,,,
MET-20210401-CA-UZB-0001,MeteorologicalHazards,Fires,Wildfire,fire,UZB,1,1,Global Wildfire Information System (GWIS),Very High,2021,4,1,2021,4,23,Spring,19/12/2025,19/12/2025,N/A,N/A,Central Asia,Uzbekistan,N/A,N/A,Uzbekistan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,,,,,,
MET-20210425-CA-UZB-0001,MeteorologicalHazards,Fires,Wildfire,fire,UZB,1,1,Global Wildfire Information System (GWIS),Very High,2021,4,25,2021,4,21,Spring,19/12/2025,19/12/2025,N/A,N/A,Central Asia,Uzbekistan,N/A,N/A,Uzbekistan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,,,,,,
